0,"[4, 6, 24, 42, 65, 96, 169, 171, 193]"
1,"[183, 187]"
2,"[3, 68, 132, 142, 143, 166]"
3,"[29, 92, 129, 152]"
4,"[0, 42, 77, 90, 102, 119, 189]"
5,"[43, 77, 91, 99, 125, 140, 147, 151, 154, 166]"
6,"[16, 22, 40, 48, 51, 130, 157, 178]"
7,"[2, 9, 22, 67, 68, 69, 75, 78, 82, 116, 152, 182, 193]"
8,"[0, 31, 44, 69, 86, 116, 156, 157, 167, 178]"
9,"[8, 46, 68, 74, 99, 109, 118, 181, 193]"
7,"[2, 9, 22, 67, 68, 69, 75, 78, 82, 116, 152, 182, 193]"
8,"[0, 31, 44, 69, 86, 116, 156, 157, 167, 178]"
9,"[8, 46, 68, 74, 99, 109, 118, 181, 193]"
10,"[22, 38, 75, 121, 131, 152, 162, 195, 198]"
11,"[8, 18, 28, 82, 130]"
12,"[26, 48, 63, 98, 100, 107, 109, 111, 130, 132, 137]"
13,"[17, 50, 99, 115, 156, 191]"
14,"[4, 8, 29, 86, 94, 101, 159, 168, 170, 179, 187, 194]"
15,"[86, 100, 109, 132, 151, 155]"
16,"[19, 33, 38, 44, 78, 82, 104, 105, 136, 141, 177]"
17,"[6, 24, 60, 97, 134, 171, 183]"
18,"[6, 54, 98, 109, 110, 144, 148, 156, 169, 174]"
19,"[34, 154, 167, 188, 191]"
20,"[0, 193, 197]"
20,"[0, 193, 197]"
21,"[16, 21, 29, 56, 66, 83, 100, 101, 130, 161, 179]"
22,"[31, 37, 105, 107, 108, 115, 119, 151, 167, 175, 183, 194]"
23,"[30, 92, 96, 116, 139, 159, 188]"
24,"[13, 20, 27, 37, 51, 76, 87, 98, 116, 129, 151, 159, 171]"
25,"[13, 46, 85, 151]"
26,"[10, 39]"
27,"[57, 119]"
28,"[11, 49, 55, 78, 114]"
29,"[21, 103, 161]"
30,"[11, 26, 63, 108, 135]"
31,"[104, 123, 183]"
32,"[58, 138, 153, 156, 159]"
33,"[8, 18, 22, 58, 93, 106, 149, 177]"
34,"[64, 105]"
35,"[121, 182]"
36,[13]
37,"[19, 44, 81, 94, 145, 148, 174]"
38,"[6, 73, 92, 96, 98]"
39,"[86, 100, 112, 191]"
40,"[144, 196]"
41,"[153, 158]"
42,"[44, 97]"
45,"[8, 36, 45, 71, 110]"
46,[68]
47,"[12, 71, 73, 134, 140, 156]"
48,"[53, 55, 66, 87]"
49,"[26, 40, 77, 122, 140, 153]"
