0,"[6, 24, 65, 81, 96, 116, 175]"
1,"[24, 57, 100, 125, 168, 183]"
2,"[17, 31, 35, 88, 142, 155]"
3,"[17, 88, 89, 108, 152]"
4,[164]
5,"[77, 153, 157, 198]"
6,"[22, 33, 110, 155, 163]"
7,"[4, 15, 70, 72, 95, 120, 142, 157, 162]"
8,"[69, 116]"
9,"[42, 49, 83, 99, 103, 137]"
10,"[52, 195]"
11,"[73, 90, 91, 98, 117, 145, 196]"
12,"[26, 56, 60, 108, 135, 137]"
13,"[17, 60, 73, 85, 110, 148, 166]"
14,"[20, 98, 176, 192]"
15,"[155, 158, 196]"
16,"[19, 105, 188]"
17,[36]
18,"[62, 72, 87, 130]"
19,"[33, 46]"
20,"[53, 60, 159, 178]"
21,"[29, 44, 84, 182]"
22,"[23, 60, 88]"
23,"[24, 40, 74, 98, 133, 135, 136, 145]"
24,"[36, 38, 63, 114, 129, 163, 187, 198]"
25,"[175, 177]"
26,"[28, 54]"
27,[160]
28,"[17, 47, 154]"
29,"[1, 32, 61, 139, 188]"
30,[31]
32,"[45, 58, 190]"
33,"[42, 68, 75]"
34,"[7, 131, 167]"
35,[198]
36,[192]
37,"[56, 76, 105, 174]"
38,"[3, 53, 71, 128]"
39,"[154, 199]"
40,[165]
41,"[2, 4, 81, 94, 111]"
42,"[110, 178]"
45,[26]
46,[8]
47,"[171, 199]"
48,"[7, 69, 80, 130, 136, 158]"
49,[106]
