Safe testfile,time1,Unsafe testfile,time2
0_4,17.737140893936157,11_18,13.328587532043457
0_6,18.358044385910034,31_183,13.96748685836792
0_24,19.96036195755005,32_58,13.824702978134155
0_42,18.494762897491455,,
0_65,19.07519769668579,,
0_96,20.037623167037964,,
0_169,21.302567958831787,,
0_171,21.01662802696228,,
0_193,19.709007740020752,,
1_183,21.438323736190796,,
1_187,22.24361562728882,,
2_3,21.980084657669067,,
2_68,20.224172353744507,,
2_132,20.404706239700317,,
2_142,21.118847846984863,,
2_143,22.291540145874023,,
2_166,20.862717151641846,,
3_29,21.217429637908936,,
3_92,21.902931928634644,,
3_129,21.86256980895996,,
3_152,21.98608922958374,,
4_0,22.21736168861389,,
4_42,25.84340763092041,,
4_77,23.52053666114807,,
4_90,10.096626281738281,,
4_102,10.40383005142212,,
4_119,9.867847919464111,,
4_189,10.80797815322876,,
5_43,10.294923543930054,,
5_77,10.537718057632446,,
5_91,10.49071478843689,,
5_99,10.080894947052002,,
5_125,11.276163578033447,,
5_140,9.917303323745728,,
5_147,10.967423677444458,,
5_151,12.199288606643677,,
5_154,11.163810968399048,,
5_166,10.800961017608643,,
6_16,10.723399639129639,,
6_22,10.745166778564453,,
6_40,11.193806648254395,,
6_48,10.87169337272644,,
6_51,10.813522100448608,,
6_130,10.660489082336426,,
6_157,11.047971487045288,,
6_178,10.959387063980103,,
7_2,11.19542646408081,,
7_9,11.498146295547485,,
7_22,10.968321084976196,,
7_67,11.22350001335144,,
7_68,10.825528621673584,,
7_69,11.036241054534912,,
7_75,10.987676620483398,,
7_78,11.663728952407837,,
7_82,10.865497350692749,,
7_116,10.903560161590576,,
7_152,11.311685562133789,,
7_182,11.277087211608887,,
7_193,11.485607624053955,,
8_0,12.209032773971558,,
8_31,11.87791657447815,,
8_44,12.571739912033081,,
8_69,11.836337327957153,,
8_86,12.196535587310791,,
8_116,12.149299383163452,,
8_156,12.678368330001831,,
8_157,12.274719953536987,,
8_167,12.027949333190918,,
8_178,12.618998050689697,,
9_8,12.03085470199585,,
9_46,12.460514307022095,,
9_68,12.636499404907227,,
9_74,12.144882917404175,,
9_99,12.010380506515503,,
9_109,12.280644416809082,,
9_118,12.396003007888794,,
9_181,12.91503095626831,,
9_193,12.3006432056427,,
7_2,12.480313777923584,,
7_9,12.240982055664062,,
7_22,12.165932893753052,,
7_67,12.562201976776123,,
7_68,12.8916916847229,,
7_69,12.377516269683838,,
7_75,12.486042976379395,,
7_78,12.397971630096436,,
7_82,12.770401954650879,,
7_116,12.796314716339111,,
7_152,12.7377347946167,,
7_182,12.496914386749268,,
7_193,14.528867959976196,,
8_0,12.765892744064331,,
8_31,12.975135087966919,,
8_44,13.231502771377563,,
8_69,12.550595760345459,,
8_86,13.655336380004883,,
8_116,12.802244424819946,,
8_156,12.074185371398926,,
8_157,12.12042760848999,,
8_167,12.62908411026001,,
8_178,11.562059879302979,,
9_8,12.184277534484863,,
9_46,12.41409945487976,,
9_68,11.98505711555481,,
9_74,13.2886381149292,,
9_99,13.378143548965454,,
9_109,11.901601314544678,,
9_118,11.89516568183899,,
9_181,12.871387481689453,,
9_193,12.675658464431763,,
10_22,12.925474405288696,,
10_38,12.789760828018188,,
10_75,12.417423725128174,,
10_121,12.1558997631073,,
10_131,12.806153535842896,,
10_152,12.889094591140747,,
10_162,11.797266721725464,,
10_195,14.143913269042969,,
10_198,12.90731954574585,,
11_8,13.457120418548584,,
11_28,14.56808590888977,,
11_82,13.949080467224121,,
11_130,13.189557313919067,,
12_26,13.023772478103638,,
12_48,13.46487808227539,,
12_63,13.06872296333313,,
12_98,13.558283567428589,,
12_100,13.893344402313232,,
12_107,13.593966960906982,,
12_109,15.23058557510376,,
