Safe testfile,time1,Unsafe testfile,time2
0_31,12.196016311645508,5_22,14.522817373275757
0_59,13.351678848266602,7_65,12.87803339958191
0_65,12.954721689224243,7_179,14.06113052368164
0_144,12.389256954193115,9_113,16.82967782020569
0_170,13.062989711761475,24_178,14.596357822418213
0_189,13.28950810432434,,
1_10,13.086378812789917,,
1_89,14.50423288345337,,
1_150,13.6832435131073,,
1_157,12.377737760543823,,
1_158,12.467366218566895,,
1_179,14.285762071609497,,
1_183,14.269281148910522,,
2_5,13.249662160873413,,
2_20,12.973337888717651,,
2_189,12.774266958236694,,
3_41,15.046285629272461,,
3_102,14.469813823699951,,
3_159,13.454903841018677,,
4_23,14.956177473068237,,
4_70,16.165356397628784,,
4_168,14.821361303329468,,
4_199,15.278077602386475,,
5_50,14.204088926315308,,
5_62,14.622691869735718,,
5_77,14.87038516998291,,
5_122,15.588814973831177,,
5_147,14.666517734527588,,
5_151,14.422633171081543,,
6_36,13.918145895004272,,
6_37,13.743562459945679,,
6_44,13.819233894348145,,
6_46,12.781116247177124,,
6_70,12.637564182281494,,
6_155,12.508172750473022,,
6_161,12.940658330917358,,
7_43,13.426533699035645,,
7_68,13.108676671981812,,
7_95,13.51656723022461,,
7_96,13.34279489517212,,
8_21,13.45198369026184,,
8_60,13.167658805847168,,
8_103,13.047517776489258,,
8_116,13.560266256332397,,
8_150,14.70774793624878,,
8_176,14.733502864837646,,
8_194,13.733824014663696,,
9_6,15.085376977920532,,
9_9,14.390723466873169,,
9_23,15.175594091415405,,
9_80,14.448304653167725,,
9_120,13.657747507095337,,
9_143,14.035139799118042,,
9_163,15.254939556121826,,
9_181,14.757835626602173,,
10_2,15.291105031967163,,
10_7,13.81653356552124,,
10_59,15.359612941741943,,
10_66,14.630594968795776,,
10_95,15.636964559555054,,
10_131,15.176250219345093,,
10_136,14.751878499984741,,
10_199,16.44118857383728,,
11_62,14.66120958328247,,
11_64,15.522319316864014,,
11_117,14.687212467193604,,
11_134,16.890183448791504,,
11_145,16.593465328216553,,
11_158,15.621810674667358,,
12_23,17.206116199493408,,
12_26,15.769914627075195,,
12_69,15.4701828956604,,
12_74,16.971821784973145,,
12_123,15.580493211746216,,
12_132,15.819124221801758,,
12_162,16.968926429748535,,
12_182,15.041743755340576,,
12_184,14.423898220062256,,
13_36,14.012967586517334,,
13_110,16.975029945373535,,
13_149,14.481589078903198,,
13_162,14.205424547195435,,
14_20,13.979156970977783,,
14_79,14.346344709396362,,
14_102,14.765331745147705,,
14_111,16.46331238746643,,
14_133,14.298662900924683,,
14_190,14.587780475616455,,
15_39,14.452367067337036,,
15_56,16.712143659591675,,
15_61,14.470081806182861,,
15_92,14.42143964767456,,
15_115,14.904496192932129,,
15_122,14.866000652313232,,
15_123,15.12015175819397,,
15_153,14.44986605644226,,
15_185,14.938318252563477,,
15_193,14.690442085266113,,
15_196,14.714181184768677,,
16_13,15.020514488220215,,
16_19,14.782947301864624,,
16_22,14.434187173843384,,
16_38,14.471646547317505,,
16_135,14.71308946609497,,
16_145,14.80673098564148,,
17_18,14.399003982543945,,
17_30,14.198620557785034,,
17_74,14.618247747421265,,
17_119,15.183093309402466,,
17_126,15.999919652938843,,
17_164,15.344864845275879,,
17_178,14.953807830810547,,
18_13,15.104126930236816,,
18_36,15.707093238830566,,
18_56,15.262639284133911,,
18_113,14.997987270355225,,
18_130,14.80947756767273,,
18_148,15.241886377334595,,
18_149,14.635132551193237,,
18_153,14.476776361465454,,
19_31,14.528659105300903,,
19_35,14.898496150970459,,
19_79,15.414307594299316,,
20_107,14.26692271232605,,
20_129,14.50974702835083,,
20_193,14.756767749786377,,
21_31,14.44339919090271,,
21_59,14.943355321884155,,
21_86,14.51664400100708,,
21_95,14.473911046981812,,
21_116,14.723409652709961,,
22_22,14.707058906555176,,
22_54,14.559544324874878,,
22_56,14.363115787506104,,
22_151,14.337820529937744,,
22_166,14.724531412124634,,
23_74,15.176249980926514,,
23_115,14.77627682685852,,
23_128,14.436985492706299,,
23_143,14.403625726699829,,
23_183,14.482707500457764,,
24_26,15.026660442352295,,
24_151,14.509184837341309,,
24_176,14.624924898147583,,
24_194,14.488240718841553,,
25_11,14.762335062026978,,
25_58,14.191867113113403,,
25_75,14.36121678352356,,
25_195,14.371528625488281,,
26_5,14.955108880996704,,
26_36,14.374075889587402,,
26_99,14.477930545806885,,
27_145,14.175015926361084,,
27_152,14.570208311080933,,
28_77,15.091538190841675,,
28_105,14.418977499008179,,
28_130,14.390092134475708,,
28_131,14.43586277961731,,
28_145,14.327431917190552,,
28_154,14.93707823753357,,
28_173,14.065416097640991,,
29_47,14.169873237609863,,
29_76,14.406818866729736,,
29_178,14.851866722106934,,
30_8,15.031535863876343,,
30_30,14.402442932128906,,
30_31,14.435444831848145,,
30_48,14.342204809188843,,
30_54,15.093993902206421,,
30_160,14.484469413757324,,
30_180,14.54516863822937,,
31_71,14.416593790054321,,
31_176,14.106964349746704,,
31_193,14.733413219451904,,
32_74,14.620949983596802,,
32_156,14.25728964805603,,
32_158,14.585830926895142,,
32_165,14.387892484664917,,
32_169,14.837666273117065,,
32_170,14.506102800369263,,
32_195,14.417535066604614,,
32_199,14.520930290222168,,
33_125,14.603573560714722,,
33_141,14.80228877067566,,
33_156,14.515926361083984,,
33_183,14.429228782653809,,
34_85,14.639425992965698,,
34_112,14.763735294342041,,
34_119,14.532598495483398,,
34_197,14.551039218902588,,
35_107,14.503649711608887,,
35_122,14.522080898284912,,
35_154,15.182283401489258,,
35_181,14.5823814868927,,
36_193,14.41944932937622,,
37_2,14.497627019882202,,
37_13,14.406555891036987,,
37_78,14.882015943527222,,
37_105,14.543703079223633,,
37_138,14.548955917358398,,
37_184,14.8085777759552,,
37_197,14.54049563407898,,
39_127,14.994886636734009,,
40_138,14.690534591674805,,
41_45,14.686633348464966,,
41_109,14.663654565811157,,
42_23,15.183637142181396,,
42_39,14.799811840057373,,
42_44,14.579933166503906,,
42_138,14.49701738357544,,
42_139,14.804337978363037,,
42_175,15.38135838508606,,
42_191,14.51951265335083,,
43_52,14.805341958999634,,
43_182,14.652719259262085,,
44_158,15.01616096496582,,
44_167,14.985336065292358,,
45_13,15.33449101448059,,
45_54,14.728520393371582,,
45_104,14.879210710525513,,
46_1,15.553460836410522,,
46_53,15.006582498550415,,
46_122,14.853977680206299,,
47_13,14.715774059295654,,
47_56,15.002487897872925,,
47_141,15.280057668685913,,
